reopen,min,max,last,change,change percent,date,persian_date
274450,273650,276310,274030,0,0,9/21/2021,1400/06/30
274210,273350,274510,274430,220,0.08%,9/20/2021,1400/06/29
272850,272850,275010,274650,940,0.34%,9/19/2021,1400/06/28
276010,273050,276410,273710,750,0.27%,9/18/2021,1400/06/27
273610,272150,274510,274460,1250,0.46%,9/16/2021,1400/06/25
272210,272050,274210,273210,3260,1.19%,9/15/2021,1400/06/24
274510,273350,277310,276470,3360,1.23%,9/14/2021,1400/06/23
270490,269050,273210,273110,600,0.22%,9/13/2021,1400/06/22
277210,272250,277210,272510,4800,1.76%,9/12/2021,1400/06/21
278670,276550,278810,277310,960,0.35%,9/11/2021,1400/06/20
276880,276350,279010,278270,1460,0.53%,9/9/2021,1400/06/18
275120,275050,277310,276810,3000,1.10%,9/8/2021,1400/06/17
271810,270760,274010,273810,2600,0.96%,9/7/2021,1400/06/16
271110,269660,271510,271210,530,0.20%,9/6/2021,1400/06/15
271110,270550,272810,270680,370,0.14%,9/5/2021,1400/06/14
272810,270050,274110,270310,2600,0.96%,9/4/2021,1400/06/13
270860,270850,272910,272910,2560,0.95%,9/2/2021,1400/06/11
273310,270050,273410,270350,3870,1.43%,9/1/2021,1400/06/10
273870,272250,274310,274220,3580,1.32%,8/31/2021,1400/06/09
273850,269350,274010,270640,5440,2.01%,8/30/2021,1400/06/08
281890,275490,282040,276080,5930,2.15%,8/29/2021,1400/06/07
282460,281190,283740,282010,3020,1.08%,8/28/2021,1400/06/06
279490,277890,280240,278990,500,0.18%,8/26/2021,1400/06/04
277530,276790,280940,278490,1960,0.71%,8/25/2021,1400/06/03
277190,275690,278940,276530,60,0.02%,8/24/2021,1400/06/02
274390,273690,276940,276590,2100,0.77%,8/23/2021,1400/06/01
274500,273490,275440,274490,1990,0.73%,8/22/2021,1400/05/31
269030,268990,272500,272500,3510,1.30%,8/21/2021,1400/05/30
269080,268990,269140,268990,80,0.03%,8/17/2021,1400/05/26
269110,268990,269140,269070,80,0.03%,8/16/2021,1400/05/25
263490,263490,269540,268990,5800,2.20%,8/15/2021,1400/05/24
263110,262590,267240,263190,1100,0.42%,8/14/2021,1400/05/23
265890,262890,266840,264290,1800,0.68%,8/12/2021,1400/05/21
264690,263790,267640,266090,2750,1.04%,8/11/2021,1400/05/20
258990,258990,263940,263340,4250,1.64%,8/10/2021,1400/05/19
256340,256190,259940,259090,2200,0.86%,8/9/2021,1400/05/18
256290,252390,257440,256890,510,0.20%,8/8/2021,1400/05/17
254190,253990,257140,256380,190,0.07%,8/7/2021,1400/05/16
256490,255790,256740,256190,0,0,8/5/2021,1400/05/14
257250,254690,257340,256190,1100,0.43%,8/4/2021,1400/05/13
255790,255690,258140,257290,2100,0.82%,8/3/2021,1400/05/12
255690,254590,256640,255190,300,0.12%,8/2/2021,1400/05/11
257190,254290,257640,254890,2400,0.94%,8/1/2021,1400/05/10
260270,256990,260640,257290,1300,0.51%,7/31/2021,1400/05/09
251800,251690,256240,255990,4330,1.72%,7/28/2021,1400/05/06
250780,250690,252340,251660,1170,0.47%,7/27/2021,1400/05/05
248130,247890,251040,250490,2700,1.09%,7/26/2021,1400/05/04
247490,247490,249630,247790,700,0.28%,7/25/2021,1400/05/03
246190,246190,247340,247090,810,0.33%,7/24/2021,1400/05/02
246240,246190,246340,246280,1090,0.44%,7/22/2021,1400/04/31
244820,244790,245440,245190,550,0.22%,7/20/2021,1400/04/29
245600,244090,245640,244640,650,0.27%,7/19/2021,1400/04/28
246890,245190,247640,245290,2000,0.82%,7/18/2021,1400/04/27
247610,247190,248340,247290,300,0.12%,7/17/2021,1400/04/26
246190,246190,247940,246990,950,0.39%,7/15/2021,1400/04/24
247610,244990,247640,246040,1550,0.63%,7/14/2021,1400/04/23
249740,247090,249740,247590,2100,0.85%,7/13/2021,1400/04/22
250040,249290,250140,249690,300,0.12%,7/12/2021,1400/04/21
249210,248790,250140,249990,500,0.20%,7/11/2021,1400/04/20
250340,248190,250340,249490,700,0.28%,7/10/2021,1400/04/19
